Driver ID,Location X,Location Y,Is OnService,Is Active,Working Hours,Total Working Hours,Total idleTime,Total Active Hour,Revenus
57,0,2,false,true,0.0,0.0,0.0,0.0,0.0
58,1,3,false,true,0.0,0.0,0.0,0.0,0.0
59,3,0,false,true,0.0,0.0,0.0,0.0,0.0
60,4,2,false,true,0.0,0.0,0.0,0.0,0.0
61,4,1,false,true,0.0,0.0,0.0,0.0,0.0
62,4,7,false,true,0.0,0.0,0.0,0.0,0.0
63,4,7,false,true,0.0,0.0,0.0,0.0,0.0
64,8,1,false,true,0.0,0.0,0.0,0.0,0.0
65,1,6,false,true,0.0,0.0,0.0,0.0,0.0
66,1,3,false,true,0.0,0.0,0.0,0.0,0.0
67,9,0,false,true,0.0,0.0,0.0,0.0,0.0
68,8,0,false,true,0.0,0.0,0.0,0.0,0.0
69,2,9,false,true,0.0,0.0,0.0,0.0,0.0
70,4,0,false,true,0.0,0.0,0.0,0.0,0.0
71,7,6,false,true,0.0,0.0,0.0,0.0,0.0
72,8,5,false,true,0.0,0.0,0.0,0.0,0.0
73,0,6,false,true,0.0,0.0,0.0,0.0,0.0
74,9,8,false,true,0.0,0.0,0.0,0.0,0.0
75,6,9,false,true,0.0,0.0,0.0,0.0,0.0
76,1,4,false,true,0.0,0.0,0.0,0.0,0.0
77,1,6,false,true,0.0,0.0,0.0,0.0,0.0
78,7,9,false,true,0.0,0.0,0.0,0.0,0.0
79,0,6,false,true,0.0,0.0,0.0,0.0,0.0
80,1,3,false,true,0.0,0.0,0.0,0.0,0.0
81,1,4,false,true,0.0,0.0,0.0,0.0,0.0
82,0,4,false,true,0.0,0.0,0.0,0.0,0.0
83,2,0,false,true,0.0,0.0,0.0,0.0,0.0
84,4,8,false,true,0.0,0.0,0.0,0.0,0.0
85,8,8,false,true,0.0,0.0,0.0,0.0,0.0
86,1,0,false,true,0.0,0.0,0.0,0.0,0.0
87,3,9,false,true,0.0,0.0,0.0,0.0,0.0
88,8,3,false,true,0.0,0.0,0.0,0.0,0.0
89,4,1,false,true,0.0,0.0,0.0,0.0,0.0
90,0,2,false,true,0.0,0.0,0.0,0.0,0.0
91,8,3,false,true,0.0,0.0,0.0,0.0,0.0
92,1,1,false,true,0.0,0.0,0.0,0.0,0.0
93,2,9,false,true,0.0,0.0,0.0,0.0,0.0
94,9,9,false,true,0.0,0.0,0.0,0.0,0.0
95,6,9,false,true,0.0,0.0,0.0,0.0,0.0
96,9,2,false,true,0.0,0.0,0.0,0.0,0.0
97,1,5,false,true,0.0,0.0,0.0,0.0,0.0
98,-1,-1,true,true,0.0,0.0,0.0,0.0,0.0
99,5,5,false,true,0.0,0.0,0.0,0.0,0.0
